name,description,categories,vendor_name,total_installs,total_reviews,has_free_trial,is_paid,is_free,support_status,is_jira_service,link,pricing_cloud_1,pricing_cloud_2,pricing_server_1,pricing_server_2,pricing_server_3,pricing_server_4,pricing_server_5
Clockify Integration by Lizard Brain,Clockify Integration for Jira — your integrated time tracking,"Integrations, Project management, Time tracking",Lizard Brain UG,238,9,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1220227/clockify-integration-by-lizard-brain?hosting=cloud&tab=overview,$5,$1.5,$10,$250,$500,$750,"$1,000"
Project TimeLine,"Get the overall picture of Multiple Projects on an Annual TimeLine, Plan, Track and Forecast","Charts & diagramming, Project management, Reports",Nemetschek Bulgaria,234,11,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1218371/project-timeline?hosting=cloud&tab=overview,$10,$1.25,$10,$250,$480,$880,"$1,600"
Feature Bundle - Jira Service Management,We provide more value to all Jira Service Management projects,"IT & helpdesk, Themes & styles, Time tracking",Appsvio,83,13,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1218221/feature-bundle-jira-service-management?hosting=cloud&tab=overview,$5,$0.5,$10,$100,$200,$300,$500
Clockwork Automated Timesheets Free,Easiest and precise time tracking. Never log work manually again. Overview your team or company worklogs with powerful reports,"Project management, Reports, Time tracking, Workflow",HeroCoders,"2,946",31,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1220750/clockwork-automated-timesheets-free?hosting=cloud&tab=overview,,,,,,,
Agile Docs - Estimate Roll Up for Jira,"Visualise any project, release or cross project filter in a tree with rolled up estimate progress reports. No config required","Custom fields, Project management, Reports, Time tracking",Rhys Diab,253,6,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1220574/agile-docs-estimate-roll-up-for-jira?hosting=cloud&tab=overview,$10,$1,,,,,
Timeline for Jira,"Timeline, Resource planning, Team capacity","Project management, Reports, Tasks, Time tracking",Geekminds,392,3,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1220726/timeline-for-jira?hosting=cloud&tab=overview,$0.7,$0.35,,,,,
Report Builder,"Timesheets & Data Analysis for ANY Jira report: Time logs, Custom reports, Templates, HTML & JS framework, Data visualization","Project management, Reports, Time tracking",Actonic GmbH,146,24,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1216997/report-builder?hosting=cloud&tab=overview,$0.5,$0.4,$10,$50,$100,$200,$400
Roll-Up Reports for Jira,"Roll-up Summary reports for Epics, Sprints, Fix Versions, Agile Boards and more","Project management, Reports, Time tracking, Utilities",Bob Swift Atlassian Apps (an Appfire company),302,5,Get it now,,Free app,UNSUPPORTED,,https://marketplace.atlassian.com/apps/1218137/roll-up-reports-for-jira?hosting=cloud&tab=overview,,,,,,,
Rich Filters::Time Tracking Dashboards,Increase productivity with interactive dashboards & reports for timesheets & work logs,"Dashboard gadgets, Project management, Reports",Qotilabs,,2,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1219709/rich-filters-time-tracking-dashboards?hosting=datacenter&tab=overview,,,$10,$15,$25,$50,$100
Miscellaneous Tracking for Jira,Extended time logging for more than just Jira tasks. Time logging & reporting for everything else that's not part of a project,"Monitoring, Project management, Time tracking",ADWEB Software,194,9,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1212714/miscellaneous-tracking-for-jira?hosting=server&tab=overview,,,,,,,
Clerk — Billing & Invoicing for Jira,👏 Create invoices from Jira worklogs in a few clicks  🧐 Time and cost reports for clients  ✅ Find uninvoiced Jira hours,"CRM, Reports, Time tracking, Utilities",Clerk,149,7,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1221332/clerk-billing-invoicing-for-jira?hosting=cloud&tab=overview,$10,$2,,,,,
Time Tracking & Estimation Report Gadget,"Get better at time estimation - compare time spent, remaining estimate & original estimate. View progress in a dashboard gadget","Dashboard gadgets, Project management, Reports",Agilis LT,196,3,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219703/time-tracking-estimation-report-gadget?hosting=cloud&tab=overview,$1,$0.5,$10,$80,$150,$250,$500
AIM Resource Management for Jira,Straightforward and easy resource planning and transparency,"Project management, Time tracking",AIM - Agile IT Management,142,7,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1215177/aim-resource-management-for-jira?hosting=server&tab=overview,,,$10,$600,"$1,100","$2,000","$4,000"
Mobius Timesheet - Time Tracking Reports,"View time spent by author, assignee, project, team, or any other Jira field available. Easy to use time logs and reports","Dashboard gadgets, Project management, Reports",Heckr,117,21,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1217919/mobius-timesheet-time-tracking-reports?hosting=cloud&tab=overview,$1,$0.45,$10,$22,$45,$95,$190
